iter	Passed	Remaining
531	127	112
532	127	111
533	128	111
534	128	111
535	128	111
536	128	111
537	129	110
538	129	110
539	129	110
540	129	110
541	130	109
542	130	109
543	130	109
544	130	109
545	131	109
546	131	108
547	131	108
548	131	108
549	132	108
550	132	107
551	132	107
552	132	107
553	133	107
554	133	106
555	133	106
556	133	106
557	133	106
558	134	105
559	134	105
560	134	105
561	134	105
562	135	104
563	135	104
564	135	104
565	135	104
566	136	103
567	136	103
568	136	103
569	136	103
570	136	102
571	137	102
572	137	102
573	137	102
574	137	101
575	138	101
576	138	101
577	138	101
578	138	101
579	139	100
580	139	100
581	139	100
582	140	100
583	140	99
584	140	99
585	140	99
586	141	99
587	141	98
588	141	98
589	141	98
590	142	98
591	142	98
592	142	97
593	142	97
594	143	97
595	143	97
596	143	96
597	143	96
598	143	96
599	144	96
600	144	95
601	144	95
602	144	95
603	145	95
604	145	94
605	145	94
606	145	94
607	146	94
608	146	93
609	146	93
610	146	93
611	147	93
612	147	92
613	147	92
614	147	92
615	147	92
616	148	92
617	148	91
618	148	91
619	148	91
620	149	91
621	149	90
622	149	90
623	149	90
624	150	90
625	150	89
626	150	89
627	150	89
628	151	89
629	151	88
630	151	88
631	151	88
632	152	88
633	152	87
634	152	87
635	152	87
636	153	87
637	153	86
638	153	86
639	153	86
640	153	86
641	154	85
642	154	85
643	154	85
644	154	85
645	155	85
646	155	84
647	155	84
648	155	84
649	156	84
650	156	83
651	156	83
652	156	83
653	157	83
654	157	82
655	157	82
656	157	82
657	158	82
658	158	81
659	158	81
660	158	81
661	159	81
662	159	81
663	159	80
664	159	80
665	160	80
666	160	80
667	160	79
668	160	79
669	160	79
670	161	78
671	161	78
672	161	78
673	161	78
674	161	77
675	162	77
676	162	77
677	162	77
678	162	76
679	162	76
680	163	76
681	163	76
682	163	75
683	163	75
684	163	75
685	164	75
686	164	74
687	164	74
688	164	74
689	164	74
690	165	73
691	165	73
692	165	73
693	165	73
694	166	72
695	166	72
696	166	72
697	166	72
698	167	71
699	167	71
700	167	71
701	167	71
702	168	71
703	168	70
704	168	70
705	168	70
706	169	70
707	169	69
708	169	69
709	169	69
710	170	69
711	170	68
712	170	68
713	170	68
714	171	68
715	171	67
716	171	67
717	171	67
718	172	67
719	172	66
720	172	66
721	172	66
722	173	66
723	173	66
724	173	65
725	173	65
726	174	65
727	174	65
728	174	64
729	174	64
730	174	64
731	175	64
732	175	63
733	175	63
734	175	63
735	176	63
736	176	62
737	176	62
738	176	62
739	177	62
740	177	62
741	177	61
742	177	61
743	178	61
744	178	61
745	178	60
746	178	60
747	179	60
748	179	60
749	179	59
750	179	59
751	180	59
752	180	59
753	180	58
754	180	58
755	181	58
756	181	58
757	181	57
758	181	57
759	181	57
760	182	57
761	182	56
762	182	56
763	182	56
764	183	56
765	183	56
766	183	55
767	183	55
768	184	55
769	184	55
770	184	54
771	184	54
772	185	54
773	185	54
774	185	53
775	185	53
776	185	53
777	186	53
778	186	52
779	186	52
780	186	52
781	187	52
782	187	51
783	187	51
784	187	51
785	188	51
786	188	50
787	188	50
788	188	50
789	188	50
790	189	50
791	189	49
792	189	49
793	189	49
794	190	49
795	190	48
796	190	48
797	190	48
798	191	48
799	191	47
800	191	47
801	191	47
802	192	47
803	192	46
804	192	46
805	192	46
806	193	46
807	193	45
808	193	45
809	193	45
810	194	45
811	194	44
812	194	44
813	194	44
814	194	44
815	195	44
816	195	43
817	195	43
818	195	43
819	196	43
820	196	42
821	196	42
822	196	42
823	197	42
824	197	41
825	197	41
826	197	41
827	198	41
828	198	40
829	198	40
830	198	40
831	198	40
832	199	39
833	199	39
834	199	39
835	199	39
836	200	38
837	200	38
838	200	38
839	200	38
840	201	38
841	201	37
842	201	37
843	201	37
844	202	37
845	202	36
846	202	36
847	202	36
848	203	36
849	203	35
850	203	35
851	203	35
852	203	35
853	204	34
854	204	34
855	204	34
856	204	34
857	205	33
858	205	33
859	205	33
860	205	33
861	206	32
862	206	32
863	206	32
864	206	32
865	207	32
866	207	31
867	207	31
868	207	31
869	208	31
870	208	30
871	208	30
872	208	30
873	208	30
874	209	29
875	209	29
876	209	29
877	209	29
878	210	28
879	210	28
880	210	28
881	210	28
882	211	27
883	211	27
884	211	27
885	211	27
886	212	27
887	212	26
888	212	26
889	212	26
890	213	26
891	213	25
892	213	25
893	213	25
894	213	25
895	214	24
896	214	24
897	214	24
898	214	24
899	215	23
900	215	23
901	215	23
902	215	23
903	216	22
904	216	22
905	216	22
906	216	22
907	217	21
908	217	21
909	217	21
910	217	21
911	218	21
912	218	20
913	218	20
914	218	20
915	218	20
916	219	19
917	219	19
918	219	19
919	219	19
920	220	18
921	220	18
922	220	18
923	220	18
924	221	17
925	221	17
926	221	17
927	221	17
928	222	16
929	222	16
930	222	16
931	222	16
932	222	16
933	223	15
934	223	15
935	223	15
936	223	15
937	224	14
938	224	14
939	224	14
940	224	14
941	225	13
942	225	13
943	225	13
944	225	13
945	226	12
946	226	12
947	226	12
948	226	12
949	226	11
950	227	11
951	227	11
952	227	11
953	227	10
954	228	10
955	228	10
956	228	10
957	228	10
958	229	9
959	229	9
960	229	9
961	229	9
962	230	8
963	230	8
964	230	8
965	230	8
966	230	7
967	231	7
968	231	7
969	231	7
970	231	6
971	232	6
972	232	6
973	232	6
974	232	5
975	233	5
976	233	5
977	233	5
978	233	5
979	233	4
980	234	4
981	234	4
982	234	4
983	234	3
984	235	3
985	235	3
986	235	3
987	235	2
988	236	2
989	236	2
990	236	2
991	236	1
992	237	1
993	237	1
994	237	1
995	237	0
996	237	0
997	238	0
998	238	0
999	238	0
